NU_ANO_CENSO;NO_REGIAO;SG_UF;NO_MUNICIPIO;TP_DEPENDENCIA;acess_rampa;acess_elevador;acess_banheiro_pcd;politica_pcd;matriculas_basico;matriculas_fundamental;matriculas_medio;docentes_basico;docentes_fundamental;docentes_medio
2022;Norte;RO;Ariquemes;1;1;1;1;1;605.0;0.0;566.0;55.0;0.0;53.0
2022;Norte;RO;Cacoal;1;1;1;1;1;558.0;0.0;546.0;61.0;0.0;60.0
2022;Norte;RO;Colorado do Oeste;1;1;0;1;1;548.0;0.0;548.0;59.0;0.0;59.0
2022;Norte;RO;Guajar-Mirim;1;1;0;1;1;370.0;0.0;370.0;36.0;0.0;36.0
2022;Norte;RO;Jaru;1;1;1;1;1;324.0;0.0;296.0;31.0;0.0;30.0
2022;Norte;RO;Ji-Paran;1;1;1;1;1;504.0;0.0;504.0;59.0;0.0;59.0
2022;Norte;RO;Porto Velho;2;1;0;1;1;1355.0;1037.0;318.0;54.0;49.0;25.0
2022;Norte;RO;Porto Velho;1;1;1;1;1;854.0;0.0;0.0;29.0;0.0;0.0
2022;Norte;RO;Porto Velho;1;1;1;1;1;957.0;0.0;806.0;98.0;0.0;92.0
2022;Norte;RO;Vilhena;1;1;1;1;1;516.0;0.0;503.0;48.0;0.0;48.0
2022;Norte;RO;So Miguel do Guapor;1;1;0;1;1;98.0;0.0;0.0;7.0;0.0;0.0
2022;Norte;RO;Buritis;4;1;0;1;1;68.0;0.0;0.0;5.0;0.0;0.0
2022;Norte;AC;Cruzeiro do Sul;3;1;0;1;1;310.0;310.0;0.0;14.0;14.0;0.0
2022;Norte;AC;Cruzeiro do Sul;1;1;0;1;1;388.0;0.0;315.0;43.0;0.0;38.0
2022;Norte;AC;Cruzeiro do Sul;2;1;0;1;1;706.0;350.0;356.0;27.0;14.0;15.0
2022;Norte;AC;Porto Walter;2;1;0;0;1;861.0;178.0;402.0;29.0;12.0;14.0
2022;Norte;AC;Rio Branco;1;1;0;1;1;685.0;0.0;419.0;86.0;0.0;62.0
2022;Norte;AC;Rio Branco;1;1;0;1;1;567.0;0.0;0.0;22.0;0.0;0.0
2022;Norte;AC;Rio Branco;2;0;0;1;1;1011.0;546.0;465.0;37.0;25.0;27.0
2022;Norte;AC;Sena Madureira;1;0;1;1;1;287.0;0.0;203.0;31.0;0.0;27.0
2022;Norte;AC;Tarauac;1;1;0;1;1;392.0;0.0;331.0;31.0;0.0;31.0
2022;Norte;AC;Xapuri;1;1;0;1;1;244.0;0.0;244.0;28.0;0.0;28.0
2022;Norte;AC;Porto Acre;2;0;0;0;1;62.0;33.0;29.0;4.0;2.0;2.0
2022;Norte;AC;Porto Acre;2;1;0;1;1;49.0;25.0;24.0;6.0;4.0;4.0
2022;Norte;AM;Anam;3;0;0;0;1;43.0;38.0;0.0;4.0;4.0;0.0
2022;Norte;AM;Anam;3;1;0;0;1;76.0;61.0;0.0;6.0;6.0;0.0
2022;Norte;AM;Anam;3;0;0;1;1;103.0;87.0;0.0;5.0;5.0;0.0
2022;Norte;AM;Anam;3;0;0;0;1;23.0;16.0;0.0;1.0;1.0;0.0
2022;Norte;AM;Anam;3;0;0;0;1;45.0;42.0;0.0;5.0;5.0;0.0
2022;Norte;AM;Anam;3;1;0;0;1;32.0;25.0;0.0;2.0;2.0;0.0
2022;Norte;AM;Anam;3;0;0;0;1;23.0;18.0;0.0;2.0;2.0;0.0
2022;Norte;AM;Anam;3;0;0;0;1;35.0;28.0;0.0;2.0;2.0;0.0
2022;Norte;AM;Anam;3;1;0;1;1;69.0;54.0;0.0;6.0;6.0;0.0
2022;Norte;AM;Anam;3;0;0;0;1;129.0;119.0;0.0;7.0;7.0;0.0
2022;Norte;AM;Anam;3;1;0;0;1;38.0;29.0;0.0;5.0;5.0;0.0
2022;Norte;AM;Anam;3;1;0;0;1;19.0;13.0;0.0;1.0;1.0;0.0
2022;Norte;AM;Anam;3;0;0;0;1;37.0;26.0;0.0;3.0;3.0;0.0
2022;Norte;AM;Anam;3;0;0;0;1;48.0;38.0;0.0;3.0;3.0;0.0
